,Lng,Lat,tradeTime,DOM,totalPrice,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,subway,district,distanceToCapital,pricePerSquare
0,2.0328807809204377,0.6984723890677211,2016-08-09,1464.0,415.0,131.0,2,1,1,1,26,2005,Simplicity,steel-concrete composite,0.217,has elevator,has subway,7,14.074995967441408,3167.93893129771
1,2.0325042784941973,0.6960640790460643,2016-07-28,903.0,575.0,132.38,2,2,1,2,22,2004,hardcover,steel-concrete composite,0.667,has elevator,no subway,7,4.701223570850024,4343.556428463514
2,2.0322266489700826,0.6994601407045947,2016-09-30,965.0,297.5,134.0,3,1,1,1,21,2008,other,steel-concrete composite,0.273,has elevator,no subway,6,19.29304127203512,2220.1492537313434
3,2.032058783202626,0.6961460222544453,2016-08-28,927.0,392.0,81.0,2,1,1,1,6,1960,rough,mixed,0.3329999999999999,no elevator,has subway,1,2.6833345753278235,4839.506172839507
4,2.0327200535496215,0.6979809567102371,2016-07-22,861.0,275.6,53.0,1,0,1,1,8,2005,Simplicity,steel-concrete composite,0.3329999999999999,has elevator,no subway,7,10.914652202773903,5200.0
5,2.0330046469374516,0.6962465881259452,2016-07-14,851.0,275.0,73.0,2,1,1,1,6,1997,hardcover,mixed,0.5,no elevator,no subway,7,6.55601883959883,3767.123287671233
6,2.034281233112238,0.7009601464769288,2016-09-04,873.0,134.0,48.0,1,0,1,1,10,2009,other,mixed,0.3329999999999999,no elevator,no subway,13,31.330415758569284,2791.6666666666665
7,2.032489774808113,0.6963583939178281,2016-09-05,865.0,380.0,68.0,1,0,0,0,23,2009,hardcover,steel-concrete composite,0.308,has elevator,has subway,1,3.950227870653881,5588.235294117647
8,2.034281233112238,0.7009601464769288,2016-08-03,773.0,126.0,48.0,1,1,1,1,11,2009,Simplicity,mixed,0.3329999999999999,no elevator,no subway,13,31.330415758569284,2625.0
9,2.029753098540986,0.6958646402724388,2016-06-17,706.0,285.0,80.13,1,1,1,1,24,2001,hardcover,steel-concrete composite,0.222,has elevator,has subway,2,10.210220498881014,3556.72032946462
10,2.030327905276838,0.6962545468273343,2016-09-20,800.0,360.0,59.4,2,1,1,1,26,1990,Simplicity,steel-concrete composite,0.25,has elevator,has subway,2,6.796144583077684,6060.606060606061
11,2.0316600976415926,0.6977063466057283,2016-07-22,739.0,700.0,178.96,4,1,1,1,23,1997,Simplicity,steel-concrete composite,0.3329999999999999,has elevator,has subway,7,7.944120939165201,3911.488600804649
12,2.029551844624939,0.6969890337364512,2016-09-17,790.0,212.0,64.28,1,0,1,1,19,2009,Simplicity,steel-concrete composite,0.111,has elevator,has subway,8,10.989560782570422,3298.070939639079
13,2.0351211379081753,0.6962690156068334,2016-06-20,691.0,336.0,111.3,2,1,1,1,6,2008,hardcover,steel-concrete composite,0.1669999999999999,has elevator,no subway,7,16.80260511125739,3018.867924528302
